"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-07112019-015504";"";
"REFERENCE";"22-27-2021";"";
"rs_stock_number";"4838461";"";
"TraceParts.PartTitle";"Molex KK 254 6410, 2 Way, 1 Row, Straight PCB Header";"";
"SUPPLIER_NAME";"RS Components";"";
"Buy_Now";"https://uk.rs-online.com/web/p/products/4838461?cm_mmc=en-ds-_-mcad-_-traceparts-_-4838461'";"";
"SUPPLIER";"Molex";"";
"DESIGN";"Molex KK 254 6410, 2 Way, 1 Row, Straight PCB Header";"";
"TraceParts.InstanceId";"10-07112019-015504B2NWBQJUGLFNI2TLU3GUT4EYU";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.6";"";
